Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Hamilton Twp (Atlantic),Atlantic,2023,110.9,104,"27,884",57.10%,14.80%,15.50%,0.00%,4.80%,0.00%,0.10%,7.70%,"$85,582",7.50%,38.4,119,316,"11,531","10,980",95%,70%,31%,,98,"1,216","2,709","1,867","2,199","1,362",563,578,177,762,"5,998","2,236",273,627,949,787,163,498,0,69.80%,19.10%,4.30%,4.90%,0.00%,1.30%,0.10%,0.30%,0.40%,686,"3,985","4,371","1,938","13,087",80.40%,7.50%,0.30%,1.00%,3.00%,7.90%,27.8
Hamilton Twp (Mercer),Mercer,2023,39.4,940,"91,802",58.70%,13.00%,21.50%,0.00%,4.30%,0.00%,0.30%,2.20%,"$97,481",6.80%,30.6,229,"1,682","37,027","35,853",97%,72%,28%,,167,"1,017","2,100","1,834","3,861","5,170","6,252","8,312","3,047","5,267","23,795","3,771","1,508","1,363","1,096","2,391","2,863",191,49,74.70%,17.30%,1.50%,5.20%,0.10%,0.00%,0.10%,0.30%,0.80%,"2,324","11,087","13,367","9,075","45,855",75.90%,8.80%,2.30%,0.60%,1.30%,11.00%,25.2
Hammonton Town,Atlantic,2023,40.7,151,"14,746",69.00%,1.80%,26.70%,0.00%,1.80%,0.00%,0.00%,0.60%,"$83,044",11.20%,41.3,93,443,"6,145","5,705",93%,71%,29%,,0,33,961,635,502,950,810,725,360,"1,169","4,202",422,525,318,292,174,207,5,0,71.70%,15.20%,0.90%,10.30%,0.00%,0.90%,0.60%,0.50%,0.00%,188,"1,932","2,226","1,359","7,051",72.10%,14.30%,0.20%,1.80%,3.20%,8.40%,26.3
Hampton Boro,Hunterdon,2023,1.5,341,"1,127",79.90%,1.70%,7.20%,0.00%,5.40%,0.00%,0.80%,5.10%,"$77,222",13.50%,41.4,92,23,511,494,97%,72%,28%,,8,14,41,12,82,77,17,59,11,190,340,17,56,40,5,14,18,21,0,21.90%,17.00%,6.30%,48.40%,0.00%,2.80%,0.00%,2.40%,1.20%,6,173,192,123,490,70.20%,11.00%,3.10%,1.00%,0.00%,14.70%,31.6
Hampton Twp,Sussex,2023,24.6,87,"4,910",87.40%,0.40%,5.20%,0.10%,1.60%,0.00%,0.20%,5.00%,"$105,636",5.80%,28,289,77,"2,138","2,054",96%,88%,12%,,13,57,125,216,552,337,303,326,76,133,"1,629",308,13,23,22,8,7,128,0,23.60%,8.60%,11.60%,51.80%,0.00%,4.10%,0.00%,0.40%,0.00%,106,542,938,468,"2,108",73.50%,6.60%,0.00%,2.70%,0.00%,17.10%,28.2
Hanover Twp,Morris,2023,10.5,558,"14,627",70.30%,0.40%,9.50%,0.00%,15.20%,0.00%,1.40%,3.30%,"$159,681",3.00%,20.9,455,352,"5,861","5,754",98%,81%,19%,,0,549,590,974,426,897,806,"1,199",159,261,"3,858",703,125,156,465,285,269,0,0,88.30%,8.60%,1.70%,1.10%,0.00%,0.00%,0.00%,0.10%,0.10%,251,"1,748","2,457","1,298","7,618",67.20%,8.20%,2.10%,0.00%,0.40%,22.10%,24.7
Harding Twp,Morris,2023,20.1,78,"3,882",83.60%,2.50%,4.30%,0.20%,3.80%,0.00%,0.00%,5.60%,"$178,810",3.80%,20.3,470,47,"1,574","1,516",96%,82%,18%,,8,43,115,153,272,180,136,225,127,315,"1,335",140,0,21,67,0,11,0,0,83.80%,1.80%,2.80%,11.10%,0.00%,0.00%,0.00%,0.00%,0.50%,23,303,641,549,"1,519",69.40%,1.70%,12.20%,0.00%,1.10%,15.60%,34.3
Hardwick Twp,Warren,2023,37.5,15,"1,436",89.60%,2.60%,7.00%,0.00%,0.90%,0.00%,0.00%,0.00%,"$124,167",8.00%,28.6,276,3,557,498,89%,87%,13%,,8,5,62,68,126,97,45,50,28,68,537,4,0,10,6,0,0,0,0,4.20%,10.60%,16.30%,52.20%,0.00%,16.70%,0.00%,0.00%,0.00%,17,97,181,203,681,69.60%,11.70%,0.00%,2.50%,1.90%,14.20%,32.9
Hardyston Twp,Sussex,2023,32,123,"8,239",77.50%,5.80%,10.00%,0.00%,1.50%,0.00%,0.20%,5.00%,"$119,103",7.50%,28.8,269,154,"3,946","3,631",92%,81%,19%,,0,146,"1,084",612,220,567,346,537,253,181,"2,182","1,108",116,80,253,162,14,0,31,49.00%,10.30%,6.70%,28.70%,0.00%,3.20%,0.00%,1.30%,0.90%,109,"1,055","1,496",971,"4,268",71.00%,5.80%,1.30%,0.10%,1.90%,19.90%,41.4
Harmony Twp,Warren,2023,23.8,44,"2,515",94.60%,0.30%,1.80%,0.00%,3.20%,0.00%,0.00%,0.00%,"$93,478",3.20%,27.6,301,48,"1,049",978,93%,91%,9%,,0,5,35,12,227,172,167,102,54,275,990,15,13,0,0,17,0,14,0,5.10%,4.70%,7.80%,69.40%,1.00%,8.60%,0.00%,3.00%,0.40%,27,217,283,451,"1,248",79.40%,4.30%,0.00%,0.90%,1.80%,13.60%,34.2
Harrington Park Boro,Bergen,2023,1.8,"1,032","4,883",69.80%,0.00%,7.20%,0.00%,19.20%,0.00%,0.20%,3.50%,"$180,515",5.80%,18.6,507,28,"1,858","1,776",96%,96%,4%,,0,58,90,107,114,341,313,364,49,422,"1,708",20,25,0,0,30,75,0,0,86.50%,11.10%,0.60%,1.20%,0.00%,0.50%,0.00%,0.00%,0.00%,21,447,769,539,"2,268",67.50%,4.50%,5.10%,2.10%,0.40%,20.50%,32.3
Harrison Town,Hudson,2023,1.2,"8,021","19,599",24.70%,4.90%,43.50%,0.80%,22.00%,0.00%,0.60%,3.60%,"$82,290",13.90%,35.9,145,296,"9,625","8,991",93%,19%,81%,,546,"3,000",497,480,478,636,922,565,358,"2,143",513,398,"2,197","1,370",888,442,"3,769",48,0,55.80%,35.90%,6.00%,0.70%,0.00%,0.00%,0.00%,0.40%,1.30%,"2,956","4,270","1,563",202,"11,153",30.50%,7.60%,29.60%,8.70%,5.00%,18.60%,36.8
Harrison Twp,Gloucester,2023,18.9,229,"13,679",81.90%,4.40%,4.90%,0.00%,5.60%,0.30%,0.70%,2.30%,"$169,048",3.90%,21.3,438,139,"4,330","4,170",96%,92%,8%,,12,545,"1,398","1,030",412,236,348,83,60,206,"3,947",140,0,38,50,57,98,0,0,83.90%,6.10%,1.50%,6.80%,0.00%,0.10%,1.50%,0.00%,0.00%,89,608,"1,984","1,489","6,846",69.50%,7.10%,0.20%,1.00%,0.60%,21.60%,26.2
Harvey Cedars Boro,Ocean,2023,0.6,"2,040",478,93.10%,0.20%,0.60%,0.00%,2.10%,0.00%,0.80%,3.10%,"$148,333",6.30%,16.1,538,26,"1,224",236,19%,96%,4%,Yes,5,109,229,104,228,171,192,65,61,60,"1,169",31,23,0,0,0,1,0,0,89.80%,8.90%,0.40%,0.00%,0.00%,0.00%,0.80%,0.00%,0.00%,8,85,97,46,190,69.50%,3.20%,1.60%,0.00%,3.20%,22.60%,27.3
Hasbrouck Heights Boro,Bergen,2023,1.5,"3,029","12,067",53.40%,3.40%,27.50%,0.20%,11.70%,0.00%,2.40%,1.40%,"$118,670",9.40%,30.9,220,193,"4,544","4,360",96%,70%,30%,,0,72,50,67,212,198,628,"1,735",636,946,"2,999",59,448,245,77,62,640,14,0,81.60%,10.90%,2.40%,4.80%,0.00%,0.00%,0.00%,0.30%,0.00%,241,"1,645","1,518",956,"6,423",65.30%,8.20%,12.60%,1.70%,0.50%,11.70%,31.4
Haworth Boro,Bergen,2023,1.9,624,"3,321",65.40%,2.40%,7.90%,0.10%,13.70%,0.00%,0.70%,9.80%,"$227,841",3.70%,17.2,524,41,"1,186","1,053",89%,95%,5%,,14,66,42,21,55,24,170,275,119,400,"1,169",2,15,0,0,0,0,0,0,90.50%,5.80%,1.20%,0.50%,0.00%,0.00%,0.00%,1.40%,0.60%,20,146,596,291,"1,587",62.90%,3.30%,5.80%,0.00%,1.10%,26.80%,34.9
Hawthorne Boro,Passaic,2023,3.3,"2,434","19,472",69.10%,3.40%,23.90%,0.00%,1.20%,0.00%,0.40%,2.00%,"$118,093",5.10%,27.8,294,418,"8,033","7,613",95%,68%,32%,,59,178,262,152,819,777,862,"1,314",965,"2,645","4,214",636,"2,114",294,179,184,399,13,0,87.50%,6.80%,1.80%,3.50%,0.00%,0.00%,0.10%,0.10%,0.20%,402,"2,289","2,965","1,957","10,923",81.30%,5.00%,2.40%,1.60%,0.30%,9.40%,24.8
Hazlet Twp,Monmouth,2023,5.6,"1,393","20,353",79.90%,0.60%,13.50%,0.00%,1.90%,0.00%,0.80%,3.30%,"$121,307",4.30%,26.7,320,380,"7,800","7,659",98%,89%,12%,,130,153,129,487,761,"1,461","1,618","2,535",152,374,"6,487",268,67,16,38,66,266,592,0,87.10%,7.60%,2.00%,2.70%,0.00%,0.00%,0.60%,0.00%,0.00%,612,"1,835","3,344","1,868","10,246",76.30%,5.60%,5.30%,0.70%,0.70%,11.30%,32.8
Helmetta Boro,Middlesex,2023,0.8,"1,260","2,317",69.90%,4.70%,11.30%,0.00%,10.10%,0.00%,0.00%,4.10%,"$104,143",2.90%,26.7,322,12,"1,008",984,98%,66%,34%,,0,68,203,92,220,12,54,83,77,199,418,84,11,28,37,233,186,11,0,80.60%,11.90%,2.60%,3.60%,0.00%,0.50%,0.00%,0.80%,0.00%,62,319,421,182,"1,300",82.50%,4.50%,1.30%,0.00%,1.20%,10.50%,32.3
Hi-nella Boro,Camden,2023,0.2,"2,360",984,40.80%,13.50%,24.40%,0.00%,13.10%,0.00%,0.00%,8.10%,"$75,227",3.80%,35.6,149,14,472,450,95%,36%,64%,,0,15,26,30,26,83,110,54,20,108,180,19,24,20,83,67,79,0,0,76.90%,14.20%,0.00%,4.20%,0.00%,0.40%,1.10%,0.90%,2.20%,49,174,170,57,622,67.70%,16.40%,4.00%,0.50%,3.10%,8.40%,29
High Bridge Boro,Hunterdon,2023,2.4,619,"3,584",73.20%,2.10%,12.60%,0.00%,10.10%,0.00%,0.00%,2.10%,"$116,424",3.80%,34.6,167,42,"1,485","1,475",99%,79%,21%,,0,45,43,52,319,302,78,76,113,457,"1,030",196,117,41,45,31,0,25,0,34.60%,18.40%,5.40%,38.20%,0.00%,2.20%,0.00%,1.20%,0.00%,23,368,667,417,"1,994",76.40%,3.40%,2.40%,0.00%,0.00%,17.80%,35.7
Highland Park Boro,Middlesex,2023,1.8,"3,810","14,981",55.10%,5.20%,15.00%,0.00%,20.30%,0.00%,1.20%,3.30%,"$101,991",9.20%,33.2,189,182,"6,858","6,518",95%,39%,61%,,29,499,344,380,511,856,893,"1,131",323,"1,892","2,263",445,538,"1,378",593,470,"1,171",0,0,67.80%,22.50%,2.50%,5.20%,0.00%,0.00%,0.00%,1.50%,0.50%,896,"2,557","2,314",751,"8,448",57.90%,6.10%,6.00%,3.00%,2.90%,24.20%,27.5
Highlands Boro,Monmouth,2023,0.7,"4,280","4,575",81.00%,2.20%,6.60%,0.00%,5.60%,0.00%,0.00%,4.60%,"$90,082",7.60%,32.7,199,92,"2,996","2,616",87%,64%,36%,,15,198,238,127,537,719,174,91,164,733,"1,198",258,245,118,421,238,501,17,0,65.10%,34.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,190,"1,346",924,156,"2,176",56.40%,4.30%,10.30%,0.80%,5.40%,22.80%,39.6
Hightstown Boro,Mercer,2023,1.2,"1,730","5,869",54.50%,5.90%,33.60%,0.00%,4.90%,0.00%,0.30%,0.90%,"$107,431",1.50%,26.9,316,100,"2,076","1,967",95%,71%,29%,,0,0,68,48,406,125,124,341,210,754,"1,366",82,123,122,345,17,21,0,0,86.60%,8.70%,0.00%,4.70%,0.00%,0.00%,0.00%,0.00%,0.00%,101,420,922,524,"3,473",68.00%,15.90%,0.40%,4.40%,1.00%,10.30%,24.2
Hillsborough Twp,Somerset,2023,54.6,295,"43,477",61.00%,3.20%,10.50%,0.00%,21.40%,0.00%,0.30%,3.50%,"$153,549",2.80%,20.2,473,488,"16,105","15,859",98%,82%,18%,,82,"1,375","1,173","3,161","4,819","2,660","1,030",848,239,718,"9,747","3,199",272,493,526,"1,175",693,0,0,76.20%,15.70%,1.30%,6.00%,0.00%,0.20%,0.00%,0.10%,0.50%,539,"3,865","7,694","3,761","24,023",70.20%,3.40%,2.70%,0.60%,0.60%,22.50%,34.3
Hillsdale Boro,Bergen,2023,2.9,"1,200","10,086",80.20%,1.00%,8.60%,0.00%,7.90%,0.00%,0.90%,1.50%,"$169,862",3.90%,21.6,429,109,"3,479","3,393",98%,90%,10%,,20,29,114,85,269,195,925,920,55,867,"2,936",157,171,27,107,23,58,0,0,91.80%,4.60%,0.10%,3.40%,0.00%,0.00%,0.10%,0.00%,0.00%,94,606,"1,528","1,165","5,515",60.30%,6.70%,6.20%,0.90%,4.00%,21.80%,27.1
Hillside Twp,Union,2023,2.8,"2,696","22,179",15.80%,51.50%,25.90%,0.40%,1.80%,0.00%,2.70%,1.90%,"$98,558",9.60%,42.3,86,404,"7,550","7,125",94%,71%,29%,,14,50,88,156,132,543,"1,104","1,695","1,526","2,242","4,542",365,"1,713",582,224,44,80,0,0,79.30%,7.50%,1.90%,8.70%,0.30%,0.00%,0.10%,0.60%,1.70%,758,"2,174","2,771","1,422","11,315",67.10%,5.20%,12.70%,2.90%,4.30%,7.90%,30.9
Ho-ho-kus Boro,Bergen,2023,1.7,901,"4,230",70.30%,1.10%,9.10%,0.00%,14.10%,0.00%,0.50%,4.80%,"250,000+",0.00%,12,559,40,"1,532","1,425",93%,91%,9%,,13,71,47,69,58,208,240,270,235,321,"1,361",74,79,8,0,0,10,0,0,89.80%,9.10%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,9,259,744,413,"2,155",49.20%,4.10%,12.90%,2.20%,2.10%,29.40%,36.2
Hoboken City,Hudson,2023,1.3,"23,065","58,340",64.80%,3.70%,13.80%,0.10%,13.00%,0.00%,0.40%,4.30%,"$176,943",7.10%,21.5,430,972,"29,985","27,654",92%,34%,66%,,190,"3,070","6,241","2,480","2,007","1,847","1,740","1,524",930,"9,956",417,917,842,"3,965","6,157","3,429","14,252",6,0,57.40%,37.40%,2.20%,0.90%,0.00%,0.00%,0.10%,0.60%,1.30%,"9,296","15,552","2,381",425,"38,796",16.90%,1.40%,37.60%,7.90%,2.00%,34.20%,37.3
Holland Twp,Hunterdon,2023,23.5,81,"5,184",94.80%,1.00%,1.00%,0.00%,0.00%,0.00%,0.20%,3.00%,"$127,644",3.50%,23,400,32,"1,901","1,887",99%,94%,6%,,0,56,83,337,255,324,257,219,126,244,"1,770",37,11,13,36,34,0,0,0,12.50%,10.30%,15.10%,50.70%,0.80%,5.90%,1.60%,3.10%,0.00%,7,375,703,802,"2,408",77.20%,4.10%,1.50%,1.40%,2.00%,13.90%,30.7
Holmdel Twp,Monmouth,2023,17.8,365,"17,401",76.40%,0.70%,6.20%,0.00%,12.00%,0.00%,0.80%,4.00%,"$172,566",3.90%,19.6,483,240,"6,491","6,366",98%,91%,9%,,35,451,814,"1,587","1,277",644,"1,052",379,10,242,"5,035",927,20,0,83,60,240,126,0,92.30%,3.70%,1.90%,2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,288,"1,375","2,751","1,952","8,069",58.60%,4.00%,10.50%,0.90%,1.70%,24.40%,37.2
Hopatcong Boro,Sussex,2023,10.9,590,"14,470",69.40%,2.10%,22.20%,0.00%,3.10%,0.00%,0.90%,2.30%,"$114,057",4.20%,27.7,298,83,"6,427","5,842",91%,90%,11%,,0,171,79,200,496,"1,478","1,022","1,811",705,465,"6,038",90,179,42,29,26,23,0,0,6.30%,19.80%,9.20%,61.30%,0.00%,1.40%,0.00%,1.40%,0.50%,40,"1,414","2,502","1,886","8,546",76.90%,6.30%,1.10%,0.00%,0.50%,15.20%,35.6
Hope Twp,Warren,2023,18.1,47,"1,837",87.10%,2.60%,5.90%,0.30%,2.30%,0.00%,0.20%,1.70%,"$106,212",8.10%,29.8,253,28,858,762,89%,85%,15%,,0,4,68,83,147,128,86,107,52,183,847,4,7,0,0,0,0,0,0,2.00%,7.60%,16.40%,60.50%,0.40%,12.60%,0.00%,0.50%,0.00%,29,150,315,268,"1,048",73.30%,11.90%,1.50%,4.00%,0.20%,9.10%,33.8
Hopewell Boro,Mercer,2023,0.7,"1,166","1,828",89.40%,1.40%,3.60%,0.00%,1.00%,0.40%,0.00%,4.10%,"$142,396",2.10%,21.6,426,69,816,747,92%,80%,21%,,0,0,46,61,41,21,84,67,48,448,591,65,68,82,10,0,0,0,0,76.60%,2.00%,0.00%,21.40%,0.00%,0.00%,0.00%,0.00%,0.00%,33,200,399,115,947,62.40%,2.20%,2.90%,5.70%,0.80%,26.00%,29.4
Hopewell Twp (Cumberland),Cumberland,2023,29.9,59,"4,372",70.70%,7.20%,16.00%,1.10%,0.00%,0.10%,1.10%,3.80%,"$87,083",7.50%,31.6,214,46,"1,779","1,607",90%,81%,19%,,0,33,130,260,240,217,318,376,59,146,"1,495",7,107,0,0,0,111,59,0,36.50%,7.30%,4.00%,43.40%,0.00%,5.10%,0.60%,3.00%,0.00%,46,491,606,464,"2,205",85.30%,5.40%,0.70%,2.70%,0.00%,6.00%,19.4
Hopewell Twp (Mercer),Mercer,2023,58.1,112,"17,469",73.90%,3.10%,3.50%,0.00%,15.10%,0.00%,0.30%,4.10%,"$177,088",3.60%,19.1,494,199,"6,504","6,067",93%,88%,12%,,0,198,539,"1,506",761,630,891,933,188,858,"5,655",531,7,136,11,46,118,0,0,55.90%,5.70%,4.10%,31.90%,0.00%,1.50%,0.10%,0.20%,0.50%,163,"1,203","2,730","1,971","8,616",62.50%,4.00%,3.00%,0.10%,0.30%,30.10%,29.4
Howell Twp,Monmouth,2023,60.3,326,"53,661",73.10%,4.80%,14.10%,0.00%,4.60%,0.00%,0.80%,2.60%,"$129,855",6.40%,24.4,382,569,"19,628","19,095",97%,90%,10%,,51,"1,339","1,904","3,320","5,696","1,926","2,978","1,366",358,690,"15,767","2,148",43,87,474,83,338,688,0,80.20%,9.80%,1.80%,5.90%,0.00%,0.80%,0.30%,0.50%,0.70%,757,"4,637","8,454","5,247","26,708",70.90%,7.60%,2.30%,1.30%,1.70%,16.20%,33.4
Independence Twp,Warren,2023,19.8,126,"5,476",83.10%,0.90%,10.60%,0.00%,2.30%,0.00%,0.00%,3.10%,"$101,282",3.50%,26.1,340,72,"2,488","2,404",97%,81%,19%,,0,0,90,964,443,274,145,199,18,355,"1,362",602,19,67,137,139,162,0,0,51.20%,14.20%,2.40%,30.00%,0.00%,2.20%,0.00%,0.00%,0.00%,39,729,908,728,"2,821",83.30%,5.20%,0.00%,0.00%,0.80%,10.70%,32.2
Interlaken Boro,Monmouth,2023,0.3,"1,267",821,95.10%,0.00%,2.80%,0.00%,0.90%,0.00%,0.00%,1.20%,"$180,972",3.40%,21.6,428,0,380,347,91%,93%,7%,,0,12,10,14,6,28,38,67,39,166,367,0,2,0,0,0,11,0,0,92.80%,4.60%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0,102,143,102,381,58.30%,6.80%,7.10%,0.80%,1.00%,26.00%,32.9
Irvington Twp,Essex,2023,2.9,"8,337","60,334",2.30%,78.10%,13.30%,0.20%,0.70%,0.00%,0.80%,4.60%,"$59,232",18.10%,53.8,27,929,"24,176","22,166",92%,29%,71%,,102,717,620,"1,400","1,735","3,048","3,929","4,536","1,742","6,347","4,158","1,139","4,369","5,234","1,928","2,307","4,997",44,0,72.50%,17.50%,2.80%,5.00%,0.00%,0.10%,0.10%,0.60%,1.50%,"5,547","10,081","4,701","1,837","28,828",55.50%,15.80%,15.70%,2.70%,3.60%,6.70%,34.1
Island Heights Boro,Ocean,2023,0.6,"1,490","1,691",90.40%,2.00%,5.70%,0.00%,0.20%,0.00%,0.00%,1.80%,"$107,308",0.90%,22.3,415,34,894,790,88%,92%,8%,,0,8,55,73,136,86,37,86,38,375,857,0,4,5,0,7,21,0,0,96.50%,1.60%,0.40%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,15,268,305,202,811,78.80%,2.80%,1.70%,2.20%,0.00%,14.40%,30.9
Jackson Twp,Ocean,2023,99.2,222,"59,352",76.00%,4.00%,13.70%,0.00%,3.30%,0.00%,0.20%,2.80%,"$108,947",7.80%,27.7,297,317,"22,061","20,993",95%,86%,14%,,172,"1,563","5,335","3,849","3,881","2,743","2,497","1,283",374,364,"17,107","1,154",81,321,410,672,904,"1,412",0,80.30%,7.70%,1.40%,9.20%,0.00%,0.50%,0.10%,0.60%,0.30%,"1,140","5,674","8,897","5,282","27,797",78.10%,8.00%,1.10%,0.70%,0.70%,11.50%,34
Jamesburg Boro,Middlesex,2023,0.9,"2,378","5,763",53.50%,1.90%,35.60%,0.00%,5.30%,0.00%,0.70%,2.90%,"$117,719",4.20%,33.1,191,104,"2,140","2,025",95%,75%,25%,,26,134,42,455,273,113,314,196,188,399,913,556,219,12,202,100,138,0,0,76.20%,13.50%,0.80%,6.30%,0.00%,0.00%,2.30%,0.00%,0.90%,87,651,822,465,"3,221",63.10%,4.60%,3.20%,2.10%,6.80%,20.20%,26.3
Jefferson Twp,Morris,2023,38.9,220,"20,535",77.00%,4.50%,10.90%,0.00%,3.50%,0.00%,0.30%,3.90%,"$115,094",5.00%,28.4,284,238,"8,555","8,082",94%,91%,9%,,25,76,"1,021","1,160","1,185",978,"1,247","1,443",704,716,"7,413",451,114,91,83,84,221,98,0,19.50%,10.60%,9.50%,57.20%,0.00%,1.50%,0.10%,0.90%,0.70%,342,"2,068","3,469","2,203","10,883",77.60%,7.60%,2.70%,0.70%,0.10%,11.30%,35.6
Jersey City,Hudson,2023,14.7,"9,023","289,691",24.00%,19.80%,25.70%,0.20%,25.50%,0.00%,1.20%,3.70%,"$94,813",15.60%,43.2,76,"4,936","132,636","123,132",93%,29%,71%,,"1,756","18,360","16,583","9,992","9,514","9,597","10,669","10,729","7,273","38,163","9,795","9,802","26,912","15,183","12,694","7,881","50,302",40,27,61.30%,30.50%,2.40%,2.70%,0.00%,0.00%,0.10%,0.60%,2.20%,"48,193","53,495","17,244","4,200","154,065",28.10%,4.70%,37.10%,5.50%,3.00%,21.60%,36.9
Keansburg Boro,Monmouth,2023,1.1,"3,707","9,729",62.90%,10.70%,20.10%,0.00%,2.20%,0.00%,0.60%,3.50%,"$87,484",11.40%,53.6,28,110,"4,078","3,603",88%,52%,48%,,0,431,40,206,319,533,576,825,329,819,"2,222",242,412,492,169,102,378,61,0,83.20%,11.60%,2.30%,1.40%,0.00%,0.00%,0.20%,0.00%,1.30%,400,"1,271","1,424",508,"4,884",67.40%,11.70%,6.50%,1.80%,7.20%,5.40%,26.9
Kearny Town,Hudson,2023,8.8,"1,743","40,570",33.50%,4.70%,50.90%,0.00%,3.50%,0.10%,2.30%,4.80%,"$83,212",12.50%,42.2,87,700,"15,340","14,756",96%,45%,55%,,79,702,453,770,906,"1,084","1,739","2,329","1,625","5,653","4,807",704,"4,275","2,221",870,"1,002","1,447",10,4,75.50%,15.20%,4.30%,3.80%,0.00%,0.00%,0.10%,0.30%,0.90%,"2,227","5,922","4,560","2,047","20,827",64.10%,10.40%,13.30%,6.00%,1.00%,5.30%,33.5
Kenilworth Boro,Union,2023,2.1,"1,456","8,339",60.90%,6.20%,27.40%,0.00%,0.70%,0.00%,4.60%,0.20%,"$126,295",6.00%,33.5,183,329,"3,058","2,880",94%,73%,27%,,20,206,3,79,40,268,302,"1,199",640,301,"2,174",117,664,19,22,0,62,0,0,78.80%,11.80%,2.70%,4.80%,0.00%,0.00%,0.00%,0.00%,1.90%,124,763,"1,255",738,"4,375",83.10%,6.90%,0.80%,1.30%,2.90%,4.90%,25
Keyport Boro,Monmouth,2023,1.4,"2,537","7,159",67.60%,4.70%,20.30%,0.00%,2.50%,0.00%,0.20%,4.70%,"$79,036",9.30%,35.1,159,230,"3,552","3,288",93%,55%,45%,,6,82,121,55,496,345,718,445,183,"1,101","1,661",271,344,206,13,104,946,7,0,77.60%,16.80%,1.90%,3.40%,0.00%,0.00%,0.00%,0.00%,0.20%,408,"1,424",826,630,"3,635",72.00%,9.60%,5.10%,2.60%,0.50%,10.20%,27.4
Kingwood Twp,Hunterdon,2023,35,46,"3,821",87.30%,0.30%,4.60%,0.00%,2.00%,0.00%,0.90%,5.00%,"$146,927",2.70%,21,452,58,"1,623","1,603",99%,89%,11%,,0,69,157,234,344,203,71,177,58,310,"1,541",22,39,0,0,0,21,0,0,6.40%,9.60%,19.60%,60.30%,0.00%,4.20%,0.00%,0.00%,0.00%,17,355,609,622,"2,172",71.00%,0.00%,0.00%,4.90%,0.00%,24.10%,33.6
Kinnelon Boro,Morris,2023,18,193,"9,971",85.50%,0.40%,5.60%,0.00%,6.70%,0.00%,0.00%,2.00%,"$178,102",2.00%,19.3,488,94,"3,467","3,333",96%,93%,7%,,9,23,397,582,403,486,669,573,172,153,"3,155",28,44,139,9,44,48,0,0,58.90%,5.00%,3.10%,31.90%,0.00%,1.20%,0.00%,0.00%,0.00%,60,607,"1,411","1,255","4,971",68.40%,7.00%,5.00%,0.10%,0.00%,19.50%,36.1
Knowlton Twp,Warren,2023,24.7,47,"2,907",89.50%,0.70%,5.20%,0.00%,0.50%,0.00%,1.20%,2.90%,"$98,750",4.10%,30.8,224,57,"1,155","1,088",94%,87%,13%,,0,15,91,272,203,135,26,113,14,286,"1,060",27,8,6,0,6,0,48,0,0.80%,14.50%,13.00%,59.50%,0.00%,9.80%,0.00%,1.40%,1.00%,25,190,482,391,"1,242",78.40%,6.30%,0.60%,0.90%,2.30%,11.60%,35.2
Lacey Twp,Ocean,2023,83.2,153,"29,164",84.70%,0.70%,12.10%,0.00%,0.50%,0.00%,0.40%,1.70%,"$100,519",4.10%,27.1,312,359,"12,691","11,232",89%,88%,12%,,26,891,"1,257","1,380","3,088","3,585","1,354",784,134,192,"12,222",161,29,25,48,8,198,0,0,85.30%,10.40%,1.50%,1.00%,0.00%,0.70%,0.30%,0.00%,0.70%,341,"2,500","4,701","3,690","14,339",76.70%,7.80%,0.70%,0.70%,0.60%,13.40%,32.7
